nombre,categoria,stock_inicial,stock_minimo
GENTAMICINA 80 MG,farmaco,50,10
GLUCONATO DE CALCIO AMP,farmaco,30,10
HEPARINA AMP 5 ML,farmaco,40,10
HIDROCORTISONA 100 MG AMP,farmaco,30,10
HIDROCORTISONA 500 MG AMP,farmaco,30,10
HIERRO AMP,farmaco,30,10
HOSCINA COMP AMP,farmaco,30,10
HOSCINA SIMPLE AMP,farmaco,30,10
MIPENEM FCO AMP,farmaco,20,5
KETOROLAC AMP,farmaco,30,10
LABETALOL AMP,farmaco,30,10
LEVETIRACETAM AMP,psicofarmaco,30,10
MEROPENEM 1 gr,farmaco,20,5
MEROPENEM 500 AMP,farmaco,20,5
METOCLOPRAMIDA AMP,farmaco,30,10
METRONIDAZOL SACHET,farmaco,30,10
OMEPRAZOL AMP,farmaco,40,10
ONDASENTRON AMP,farmaco,30,10
PIPERACILINA + TAZOBACTAN AMP,farmaco,20,5
RANITIDINA AMP,farmaco,30,10
SN HIPERTONICA AMP,farmaco,30,10
SOLUCION GLUCOSADA,farmaco,50,10
SULFAMETOXAZOL + TRIMETOPRIMA AMP,farmaco,30,10
SULFATO DE MAGNESIO AMP,farmaco,30,10
VANCOMICINA 1G MG FCO,farmaco,20,5
VANCOMICINA 500 MG FCO,farmaco,20,5
VIT K 10,farmaco,30,10
AMODINAMIDA AMP,farmaco,30,10
BISPROPOLIOPROPANOLOL,farmaco,30,10
DEXAMETHAMINAMIDA AMP,farmaco,30,10
DIOXYKINA MAMP,farmaco,30,10
ETILFERAMIDA AMP,farmaco,30,10
FURONATIO DE CALCIO AMP,farmaco,30,10
GLUCONATO HIPERTONICO,farmaco,30,10
ISOSORBIDE SUBL COMP,farmaco,30,10
LIDOCAINA AMP,farmaco,40,10
DIAZEPAM AMP,farmaco,2,2
CLORPROMAZINA AMP,farmaco,1,1
HALOPERIDOL AMP,farmaco,4,4
MORFINA AMP,farmaco,5,5
NALBUFINA AMP,farmaco,10,10
TRAMADOL 1OO AMP,farmaco,15,15
TRAMADOL 50 AMP,farmaco,10,5
LEVOMEPROMAZINA AMP,farmaco,3,3
MEPERIDINA AMP,farmaco,2,2
